ID,Unnamed: 0,d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager_mit_Standardkäfig,Kurzzeichen_Lager_Alternative_Standardkäfige,d.1,d1,D1,FE,r12_min,r34_min,s_max,da_min,da_max,db_min_Da_min,Da_max,ra_max,rb_max,kr,Kurzzeichen_Winkelring,Gewicht_kg.1,B1,B2
1233,442,240,500,95,1450.0,2000.0,180.0,1300.0,2000,94.5,NU 348 MA,-,240,-,410,310.0,5.0,5.0,5,258.0,305,314.0,482.0,4.0,4,0.1,-,-,-,-
1234,443,240,500,95,1450.0,2000.0,180.0,1300.0,2000,98.5,NJ 348 MA,-,240,322,403,310.0,5.0,5.0,5.6,260.0,302,339.0,480.0,4.0,-,0.15,-,-,-,-
1235,444,240,500,155,2750.0,4000.0,345.0,1200.0,2400,137.0, NU 2348 ECML, -,240,-,425,299.0,5.0,5.0,1.5,258.0,294,314.0,482.0,4.0,4,0.38,-,-,-,-
1236,445,260,400,65,627.0,965.0,96.5,1800.0,2800,29.5, NU 1052 ML, M,260,-,353.1,296.0,4.0,4.0,8,275.0,292,300.0,385.0,3.0,3,0.15,HJ 1052,3.4,16,31.5
1237,446,260,400,65,627.0,965.0,96.5,1800.0,2800,30.0,NJ 1052 ML, M,260,309,353.1,296.0,4.0,4.0,8,275.0,292,313.0,385.0,3.0,-,0.15,HJ 1052,3.4,16,31.5
1238,447,260,480,80,1170.0,1700.0,150.0,1400.0,2000,68.5, NU 252 MA,-,260,-,397,320.0,5.0,5.0,3.4,280.0,313,324.0,460.0,4.0,4,0.15,-,-,-,-
1239,448,260,480,80,1170.0,1700.0,150.0,1400.0,2000,69.0, NJ 252 MA,-,260,340,397,320.0,5.0,5.0,3.4,280.0,313,344.0,460.0,4.0,-,0.15,-,-,-,-
1240,449,260,480,80,1170.0,1700.0,150.0,1400.0,2000,72.0,NUP 252 MA,-,260,340,397,320.0,5.0,5.0,-,280.0,-,344.0,460.0,4.0,-,0.23,-,-,-,-
1241,450,260,480,130,1790.0,3000.0,265.0,1300.0,2000,112.0,NJ 2252 MA,-,260,340,397,320.0,5.0,5.0,4.3,280.0,309,344.0,460.0,4.0,-,0.3,-,-,-,-
1242,451,260,480,130,1790.0,3000.0,265.0,1400.0,2000,110.0, NU 2252 MA,-,260,-,397,320.0,5.0,5.0,4.3,280.0,309,324.0,460.0,4.0,4,0.2,-,-,-,-
1243,452,260,540,102,1940.0,2700.0,236.0,1100.0,1800,121.0,NU 352 ECMA,-,260,-,455,337.0,6.0,6.0,4.2,286.0,330,341.0,514.0,5.0,5,0.15,-,-,-,-
1244,453,260,540,165,3140.0,4550.0,400.0,1100.0,1900,196.0,NJ 2352 ECMA,-,260,350,458,324.0,6.0,6.0,5,284.0,320,355.0,516.0,5.0,-,0.4,-,-,-,-
1245,454,260,540,165,3190.0,4550.0,400.0,1100.0,1800,193.0,NU 2352 ECMA,-,260,-,463,324.0,6.0,6.0,1.8,286.0,310,323.0,514.0,5.0,5,0.25,-,-,-,-
1246,455,280,420,65,660.0,1060.0,102.0,1700.0,2600,31.0, NU 1056 ML, M,280,-,373.1,316.0,4.0,4.0,8,295.0,312,321.0,405.0,3.0,3,0.15,HJ 1056,3.6,16,31.5
1247,456,280,460,146,2290.0,3900.0,335.0,1200.0,2000,101.0,NU 3156 ECMA,-,280,-,406,321.0,5.0,5.0,0.4,300.0,316,325.0,440.0,4.0,4,0.21,-,-,-,-
1248,457,280,500,80,1140.0,1800.0,156.0,1400.0,1900,73.0,NJ 256 MA,-,280,360,417,340.0,5.0,5.0,3.8,300.0,333,364.0,480.0,4.0,-,0.15,-,-,-,-
1249,458,280,500,80,1190.0,1800.0,156.0,1400.0,1900,71.5, NU 256 MA,-,280,-,417,340.0,5.0,5.0,3.8,300.0,333,344.0,480.0,4.0,4,0.15,-,-,-,-
1250,459,280,500,130,2330.0,3750.0,320.0,1200.0,2200,115.0, NU 2256 ECML, -,280,-,433,333.0,5.0,5.0,4.5,298.0,328,331.0,482.0,4.0,4,0.3,-,-,-,-
1251,460,280,580,175,2700.0,4300.0,365.0,1000.0,1700,230.0,NU 2356 MA,-,280,-,467,362.0,6.0,6.0,6.6,306.0,347,366.0,554.0,5.0,5,0.25,-,-,-,-
1252,461,300,460,74,858.0,1370.0,129.0,1500.0,2000,46.0,NJ 1060 MA,-,300,356,402,340.0,4.0,4.0,9.7,317.0,335,360.0,443.0,3.0,-,0.1,-,-,-,-
1253,462,300,460,74,858.0,1370.0,129.0,1500.0,2000,46.0, NU 1060 MA,-,300,-,402,340.0,4.0,4.0,9.7,317.0,335,344.0,443.0,3.0,3,0.15,-,-,-,-
1254,463,300,460,95,1510.0,2600.0,245.0,1300.0,2000,62.0,NU 2060 ECMA,-,300,-,410,341.0,4.0,4.0,4.1,317.0,336,345.0,443.0,3.0,3,0.14,-,-,-,-
1255,464,300,540,85,1420.0,2120.0,183.0,1300.0,1400,89.5, NU 260 M; -,300,-,451,364.0,5.0,5.0,4.8,320.0,358.0,368.0,520.0,4.0,4,0.15,-,-,-,-,
1256,465,300,540,140,2090.0,3450.0,300.0,1200.0,1800,145.0,NU 2260 MA,-,300,-,451,364.0,5.0,5.0,5.6,320.0,352,368.0,520.0,4.0,4,0.2,-,-,-,-
1257,466,300,620,109,2330.0,3350.0,280.0,950.0,1200,174.0,NU 360 ECM, -,300,-,505,385.0,7.5,7.5,4,328.0,380,368.0,592.0,6.0,6,0.1,-,-,-,-
1258,467,300,620,185,4020.0,5850.0,480.0,950.0,1600,270.0,NU 2360 ECMA,-,300,-,535,371.0,7.5,7.5,11,332.0,365,375.0,588.0,6.0,6,0.27,-,-,-,-
1259,468,320,440,56,693.0,1200.0,110.0,1500.0,2000,26.0,NU 1964 ECMA,-,320,-,404,348.0,3.0,3.0,1.5,333.0,347,355.0,427.0,2.5,2.5,0.11,-,-,-,-
1260,469,320,480,74,880.0,1430.0,132.0,1400.0,1400,48.0, NJ 1064 MA,-,320,376,422,360.0,4.0,4.0,9.7,335.0,355,380.0,465.0,3.0,-,0.1,-,-,-,-
1261,470,320,480,74,880.0,1430.0,132.0,1400.0,1400,48.5, NU 1064 MA,-,320,-,422,360.0,4.0,4.0,9.7,335.0,355,364.0,465.0,3.0,3,0.15,-,-,-,-
1262,471,320,580,92,1830.0,2750.0,232.0,1000.0,1200,115.0,NU 264 ECM, -,320,-,494,392.0,5.0,5.0,4.8,338.0,386,394.0,562.0,4.0,4,0.13,-,-,-,-
1263,472,320,580,150,3190.0,5000.0,415.0,1000.0,1900,176.0,NU 2264 ECML, -,320,-,506,380.0,5.0,5.0,5,338.0,376,394.0,562.0,4.0,4,0.1,-,-,-,-
1264,473,320,670,200,4730.0,7500.0,600.0,850.0,1500,370.0,NU 2364 ECMA,-,320,-,565,405.0,7.5,7.5,11,348.0,400,394.0,642.0,6.0,6,0.15,-,-,-,-
1265,474,340,460,56,682.0,1200.0,108.0,1400.0,1900,27.5,NU 1968 ECMA,-,340,-,421,370.0,3.0,3.0,1.8,353.0,365,374.0,447.0,2.5,2.5,0.07,-,-,-,-
1266,475,340,460,72,1020.0,2040.0,186.0,1400.0,1900,37.0,NJ 2968 ECMA,-,340,377,421,367.0,3.0,3.0,3.8,353.0,363,381.0,447.0,2.5,-,0.07,-,-,-,-
1267,476,340,520,133,2200.0,4150.0,365.0,1100.0,1700,109.0,NU 3068 MA,-,340,-,465,385.0,5.0,5.0,7,360.0,380,389.0,502.0,4.0,4,0.15,-,-,-,-
1268,477,340,580,190,3470.0,5850.0,490.0,950.0,1600,217.0,NU 3168 ECMA,-,340,-,507,390.5,5.0,5.0,14,360.0,388,403.0,560.0,4.0,4,0.27,-,-,-,-
1269,478,340,620,165,2640.0,4500.0,365.0,1000.0,1500,226.0, NU 2268 MA,-,340,-,515,416.0,6.0,6.0,8,366.0,401,421.0,594.0,5.0,5,0.3,-,-,-,-
1270,479,340,710,212,5610.0,8650.0,680.0,800.0,1400,439.0,NU 2368 ECMA,-,340,-,602,425.0,7.5,7.5,11,368.0,420,389.0,682.0,6.0,6,0.15,-,-,-,-
1271,480,360,480,56,781.0,1460.0,129.0,1400.0,2000,29.0,NU 1972 ECMP,-,360,-,438,387.5,3.0,3.0,2,375.0,382,392.0,465.0,2.5,2.5,0.1,-,-,-,-
1272,481,360,540,82,1100.0,1830.0,163.0,1300.0,1600,67.5, NU 1072 MA,-,360,-,475,405.0,5.0,5.0,6.5,378.0,400,410.0,522.0,4.0,4,0.15,-,-,-,-
1273,482,360,600,192,3410.0,6100.0,490.0,900.0,1500,226.0,NU 3172 ECMA,-,360,-,475,420.0,5.0,5.0,9.4,380.0,407,425.0,580.0,4.0,4,0.21,-,-,-,-
1274,483,360,650,170,2920.0,4900.0,400.0,950.0,1400,257.0,NU 2272 MA,-,360,-,542,437.0,6.0,6.0,16.7,386.0,428,442.0,624.0,5.0,5,0.2,-,-,-,-
1275,484,360,750,224,5010.0,8150.0,630.0,850.0,1300,510.0,NU 2372 ECMA,-,360,-,617,465.0,7.5,7.5,10,392.0,453,470.0,718.0,6.0,6,0.25,-,-,-,-
1276,485,380,480,46,561.0,1120.0,98.0,1300.0,2000,20.0,NU 1876 ECMP,-,380,-,449,406.0,2.1,2.1,2.5,390.0,400,410.0,470.0,1.0,1,0.1,-,-,-,-
1277,486,380,480,46,561.0,1120.0,98.0,1300.0,2000,21.0,NJ 1876 ECMP,-,380,415,449,406.0,2.1,2.1,1.5,392.0,400,421.0,469.0,2.0,-,0.1,-,-,-,-
1278,487,380,560,82,1140.0,1930.0,170.0,1200.0,1600,70.0, NU 1076 MA,-,380,-,495,425.0,5.0,5.0,10.8,398.0,420,430.0,542.0,4.0,4,0.15,-,-,-,-
1279,488,380,560,82,1140.0,1930.0,170.0,1200.0,1600,71.0, NJ 1076 MA,-,380,443,495,425.0,5.0,5.0,10.8,398.0,420,448.0,542.0,4.0,-,0.1,-,-,-,-
1280,489,380,560,135,2380.0,4750.0,400.0,1000.0,1800,109.0,NU 3076 ECMP,-,380,-,506,425.0,5.0,5.0,8.5,398.0,417,430.0,542.0,4.0,4,0.17,-,-,-,-
1281,490,380,680,175,3960.0,6400.0,510.0,850.0,1300,288.0,NU 2276 ECMA,-,380,-,595,451.0,6.0,6.0,8.3,406.0,445,457.0,654.0,5.0,5,0.2,-,-,-,-
1282,491,400,500,46,572.0,1180.0,100.0,1300.0,1900,21.5,NU 1880 MP,-,400,-,465,423.0,2.1,2.1,3.3,410.0,419,428.0,490.0,2.0,2,0.05,-,-,-,-
1283,492,400,500,46,572.0,1180.0,96.5,1300.0,1900,22.0,NJ 1880 MP,-,400,433,465,423.0,2.1,2.1,3.3,410.0,419,436.0,490.0,2.0,-,0.05,-,-,-,-
1284,493,400,500,46,572.0,1180.0,96.5,1300.0,1900,22.5,NUP 1880 MP,-,400,432,464,423.0,2.1,2.1,-,410.0,-,438.0,488.0,2.0,-,0.1,-,-,-,-
1285,494,400,540,82,1380.0,2800.0,245.0,1200.0,1600,57.0,NJ 2980 ECMA,-,400,448,495,435.0,4.0,4.0,0.9,415.0,430,454.0,525.0,3.0,-,0.15,-,-,-,-
1286,495,400,540,106,1760.0,3750.0,320.0,1000.0,1500,74.5,NU 3980 ECMA,-,400,-,500,434.5,4.0,4.0,4,415.0,429,439.0,524.0,3.0,3,0.1,-,-,-,-
1287,496,400,600,90,1380.0,2320.0,196.0,1100.0,1500,90.0, NU 1080 MA,-,400,-,527,450.0,5.0,5.0,14,418.0,446,455.0,582.0,4.0,4,0.15,-,-,-,-
1288,497,400,600,90,1380.0,2320.0,196.0,1100.0,1500,93.0,NJ 1080 MA,-,400,472,526,450.0,5.0,5.0,5,418.0,445,478.0,582.0,4.0,-,0.15,-,-,-,-
1289,498,420,520,46,572.0,1200.0,102.0,1200.0,1800,22.0,NU 1884 MP,-,420,-,488,447.0,2.1,2.1,3.3,431.0,442,452.0,508.0,2.0,2,0.1,-,-,-,-
1290,499,420,560,82,1400.0,2850.0,255.0,1100.0,1500,60.0,NU 2984 ECMA,-,420,-,512,449.0,4.0,4.0,2.4,435.0,444,463.0,545.0,3.0,3,0.07,-,-,-,-
1291,500,420,560,106,1680.0,3650.0,310.0,950.0,1500,79.5,NUP 3984 ECMA,-,420,468,518,455.0,4.0,4.0,-,436.0,-,472.0,544.0,3.0,0.15,-,-,-,-,-
1292,501,420,620,90,1420.0,2450.0,200.0,1100.0,1400,94.0,NU 1084 MA,-,420,-,547,470.0,5.0,5.0,14,438.0,466,475.0,602.0,4.0,4,0.15,-,-,-,-
1293,502,420,700,224,4950.0,9000.0,695.0,750.0,1300,365.0,NU 3184 ECMA,-,420,-,613,485.0,6.0,6.0,14.2,446.0,478,490.0,694.0,5.0,5,0.21,-,-,-,-
1294,503,440,600,74,1060.0,2000.0,170.0,1100.0,1400,53.0,NU 1988 MA,-,440,-,544,482.0,4.0,4.0,5.5,455.0,477,487.0,585.0,3.0,3,0.07,-,-,-,-
1295,504,440,600,95,1870.0,3900.0,340.0,1100.0,1600,81.0, NU 2988 ECML, -,440,-,552,481.5,4.0,4.0,2.4,455.0,476,487.0,584.0,3.0,3,0.07,-,-,-,-
1296,505,440,600,95,1870.0,3900.0,340.0,1100.0,1600,83.0,NJ 2988 ECML, -,440,496,551,481.5,4.0,4.0,1.5,455.0,475,502.0,585.0,3.0,-,0.15,-,-,-,-
1297,506,440,650,122,2550.0,4900.0,390.0,8500.0,1300,145.0,NU 2088 ECMA,-,440,-,577,487.0,6.0,6.0,11.9,463.0,483,492.0,627.0,5.0,5,0.14,-,-,-,-
1298,507,440,720,226,5120.0,10000.0,765.0,700.0,1200,388.0,NU 3188 ECMA/HB1,-,440,-,637,509.0,6.0,6.0,12.5,466.0,500,514.0,694.0,5.0,5,0.21,-,-,-,-
1299,508,460,580,72,1080.0,2400.0,193.0,1100.0,1400,48.0,NJ 2892 ECMA,-,460,499,543,489.0,3.0,3.0,1.1,473.0,485,505.0,567.0,2.5,-,0.07,-,-,-,-
1300,509,460,620,95,1720.0,3600.0,310.0,1000.0,1300,89.0,NJ 2992 ECMA,-,460,508,566,495.0,4.0,4.0,4,475.0,490,515.0,605.0,3.0,-,0.07,-,-,-,-
1301,510,460,620,118,2050.0,4550.0,375.0,850.0,1300,112.0,NUP 3992 ECMA,-,460,515,571,501.0,4.0,4.0,-,476.0,-,520.0,604.0,3.0,-,0.15,-,-,-,-
1302,511,460,680,100,1650.0,2850.0,224.0,950.0,1200,115.0,NU 1092 MA,-,460,-,600,516.0,6.0,6.0,15.9,483.0,511,521.0,657.0,5.0,5,0.15,-,-,-,-
1303,512,460,760,240,5280.0,9650.0,735.0,670.0,1100,450.0,NU 3192 ECMA/HB1,-,460,-,662,529.3,7.5,7.5,13,492.0,519,534.0,728.0,6.0,6,0.27,-,-,-,-
1304,513,460,830,165,4180.0,6800.0,510.0,750.0,1100,415.0,NU 1292 MA,-,460,-,715,554.0,7.5,7.5,6.4,492.0,542,559.0,798.0,6.0,6,0.13,-,-,-,-
1305,514,460,830,212,5120.0,8650.0,655.0,700.0,1100,527.0, NU 2292 MA,-,460,-,706,554.0,7.5,7.5,16.5,492.0,542,559.0,798.0,6.0,6,0.2,-,-,-,-
1306,515,480,650,78,1170.0,2240.0,183.0,950.0,1300,76.0,NU 1996 MA,-,480,-,592,525.0,5.0,5.0,6.5,498.0,517,530.0,632.0,4.0,4,0.07,-,-,-,-
1307,516,480,700,100,1680.0,3000.0,232.0,900.0,1200,130.0,NU 1096 MA,-,480,-,620,536.0,6.0,6.0,15.9,503.0,531,541.0,677.0,5.0,5,0.15,-,-,-,-
1308,517,480,700,128,2860.0,5600.0,430.0,750.0,1200,179.0,NU 2096 ECMA,-,480,-,629,533.0,6.0,6.0,12.7,503.0,529,538.0,677.0,5.0,5,0.14,-,-,-,-
1309,518,480,790,248,5940.0,10800.0,800.0,630.0,1100,507.0,NU 3196 ECMA/HB1,-,480,-,699,547.0,7.5,7.5,16,512.0,536,552.0,758.0,6.0,6,0.21,-,-,-,-
1310,519,500,670,100,2050.0,4250.0,355.0,900.0,1200,107.0,NU 29/500 ECMA,-,500,-,619,539.5,5.0,5.0,3,518.0,534,549.0,652.0,4.0,4,0.1,-,-,-,-
1311,520,500,720,100,1720.0,3100.0,236.0,900.0,1100,135.0, NU 10/500 MA,-,500,-,640,556.0,6.0,6.0,11.2,523.0,550,561.0,697.0,5.0,5,0.15,-,-,-,-
1312,521,500,720,128,2920.0,5850.0,440.0,750.0,1100,180.0,NU 20/500 ECMA,-,500,-,649,553.0,6.0,6.0,12.7,523.0,549,558.0,697.0,5.0,5,0.14,-,-,-,-
1313,522,500,720,167,3800.0,7350.0,560.0,750.0,1100,233.0,NU 30/500 ECMA,-,500,-,650,540.8,6.0,6.0,8.6,523.0,532,546.0,697.0,5.0,5,0.21,-,-,-,-
1314,523,500,830,264,6440.0,12000.0,880.0,600.0,1000,595.0,NU 31/500 ECMA/HB1,-,500,-,728,576.0,7.5,7.5,14.5,532.0,564,581.0,798.0,6.0,6,0.21,-,-,-,-
1315,524,500,920,185,5280.0,8500.0,620.0,670.0,950,575.0,NU 12/500 MA,-,500,-,780,603.1,7.5,7.5,13.9,532.0,593,610.0,888.0,6.0,6,0.17,-,-,-,-
1316,525,530,710,106,2380.0,5000.0,390.0,850.0,1100,130.0,NUP 29/530 ECMA,-,530,590,656,573.0,5.0,5.0,-,548.0,-,595.0,692.0,4.0,-,0.15,-,-,-,-
1317,526,530,780,112,2290.0,4050.0,305.0,800.0,1000,190.0,NU 10/530 MA,-,530,-,692,593.0,6.0,6.0,10.4,553.0,585,598.0,757.0,5.0,5,0.15,-,-,-,-
1318,527,530,780,145,3740.0,7350.0,550.0,670.0,1000,253.0,NU 20/530 ECMA,-,530,-,704,591.0,6.0,6.0,6.8,553.0,587,596.0,757.0,5.0,5,0.2,-,-,-,-
1319,528,530,870,272,7480.0,14600.0,1040.0,560.0,950,660.0,NU 31/530 ECMA/HB1,-,530,-,764,612.0,7.5,7.5,3,562.0,605,617.0,838.0,6.0,6,0.21,-,-,-,-
1320,529,560,750,112,2460.0,5700.0,450.0,800.0,1000,145.0,NU 29/560 ECMA,-,560,-,693,608.0,5.0,5.0,4.5,578.0,600,613.0,732.0,4.0,4,0.07,-,-,-,-
1321,530,560,820,115,2330.0,4250.0,310.0,750.0,1000,210.0,NU 10/560 MA,-,560,-,726,625.0,6.0,6.0,12.3,583.0,617,630.0,797.0,5.0,5,0.15,-,-,-,-
1322,531,560,820,150,3800.0,7650.0,560.0,630.0,1000,290.0,NU 20/560 ECMA,-,560,-,741,626.0,6.0,6.0,6.7,583.0,616,631.0,797.0,5.0,5,0.14,-,-,-,-
1323,532,560,1030,206,7210.0,11200.0,780.0,560.0,800,805.0,NU 12/560 MA,-,560,-,892,668.0,9.5,9.5,10.3,600.0,657,674.0,990.0,8.0,8,0.13,-,-,-,-
1324,533,560,1030,272,9900.0,16600.0,1160.0,530.0,800,1090.0,NU 22/560 ECMA,-,560,-,900,664.0,9.5,9.5,3,594.0,658,674.0,990.0,8.0,8,0.1,-,-,-,-
1325,534,600,730,60,897.0,2080.0,108.0,800.0,1000,54.0,NU 18/600 ECMA/HB1,-,600,-,681,632.0,3.0,3.0,0.7,613.0,625,637.0,717.0,2.5,2.5,0.05,-,-,-,-
1326,535,600,870,118,2750.0,5100.0,365.0,700.0,900,240.0,NU 10/600 MA,-,600,-,779,667.0,6.0,6.0,14,623.0,658,672.0,847.0,5.0,5,0.15,-,-,-,-
1327,536,600,870,155,4180.0,8000.0,570.0,600.0,900,325.0,NU 20/600 ECMA,-,600,-,793,661.0,6.0,6.0,6.1,623.0,652,667.0,847.0,5.0,5,0.14,-,-,-,-
1328,537,630,780,69,1100.0,2500.0,183.0,750.0,950,75.0,NJ 18/630 ECMA/HB1,-,630,682,724,667.0,4.0,4.0,1.5,645.0,662,685.0,765.0,3.0,-,0.1,-,-,-,-
1329,538,630,850,100,2240.0,4400.0,315.0,700.0,900,168.0,NU 19/630 ECMA/HB1,-,630,-,785,683.0,6.0,6.0,4.5,653.0,678,688.0,827.0,5.0,5,0.07,-,-,-,-
1330,539,630,850,128,3300.0,7200.0,510.0,700.0,900,224.0,NU 29/630 ECMA/HB1,-,630,-,782,683.0,6.0,6.0,7.1,653.0,678,688.0,827.0,5.0,5,0.07,-,-,-,-
1331,540,630,850,128,3300.0,7200.0,510.0,700.0,900,230.0,NJ 29/630 ECMA/HB1,-,630,703,782,683.0,6.0,6.0,7.1,653.0,678,709.0,827.0,5.0,-,0.07,-,-,-,-
1332,541,630,920,170,4730.0,9500.0,670.0,560.0,850,400.0,NU 20/630 ECMA,-,630,-,832,699.0,7.5,7.5,8.7,658.0,690,705.0,892.0,6.0,6,0.14,-,-,-,-
1333,542,710,870,95,1940.0,5000.0,375.0,630.0,850,130.0,NJ 28/710 ECMA,-,710,766,817,751.0,4.0,4.0,1.5,728.0,745,771.0,853.0,3.0,-,0.15,-,-,-,-
1334,543,710,950,140,3740.0,8300.0,570.0,600.0,800,297.0,NU 29/710 ECMA,-,710,-,875,766.0,6.0,6.0,8.7,734.0,760,772.0,648.0,5.0,5,0.1,-,-,-,-
1335,544,710,1030,140,4680.0,8500.0,570.0,560.0,750,415.0,NU 10/710 ECMA,-,710,-,939,778.0,7.5,7.5,17,738.0,769,783.0,1002.0,6.0,6,0.15,-,-,-,-
1336,545,710,1030,185,5940.0,12000.0,815.0,480.0,700,540.0,NU 20/710 ECMA/HB1,-,710,-,939,787.0,7.5,7.5,10,738.0,780,793.0,1002.0,6.0,6,0.14,-,-,-,-
1337,546,750,1090,150,4730.0,8800.0,585.0,430.0,670,487.0,NU 10/750 ECMA/HB1,-,750,-,993,830.0,7.5,7.5,12.8,778.0,823,838.0,1062.0,6.0,6,0.15,-,-,-,-
1338,547,750,1090,195,7040.0,14600.0,980.0,430.0,670,635.0,NU 20/750 ECMA,-,750,-,993,832.0,7.5,7.5,12.8,778.0,823,838.0,1062.0,6.0,6,0.14,-,-,-,-
1339,548,800,980,82,1720.0,4150.0,190.0,530.0,700,137.0,NU 18/800 ECMA,-,800,-,920,846.0,5.0,5.0,1,818.0,840,861.0,962.0,4.0,4,0.15,-,-,-,-
1340,549,800,1150,200,7040.0,14600.0,950.0,400.0,630,715.0,NU 20/800 ECMA,-,800,-,1051,882.0,7.5,7.5,2,828.0,868,888.0,1122.0,6.0,6,0.14,-,-,-,-
1341,550,850,1030,106,2120.0,6000.0,240.0,500.0,670,193.0,NU 28/850 MA,-,850,-,961,902.0,5.0,5.0,7,868.0,891,908.0,1012.0,4.0,4,0.07,-,-,-,-
1342,551,850,1220,212,8420.0,18600.0,1200.0,360.0,560,880.0,NU 20/850 ECMA,-,850,-,1110,942.0,7.5,7.5,2,878.0,936,956.0,1190.0,6.0,6,0.17,-,-,-,-
1343,552,900,1090,85,1980.0,4900.0,240.0,450.0,600,169.0,NU 18/900 ECMA,-,900,-,1026,948.0,5.0,5.0,4.7,918.0,942,956.0,1072.0,4.0,4,0.05,-,-,-,-
1344,553,900,1180,165,5280.0,12500.0,800.0,430.0,560,514.0,NU 29/900 ECMA/HB1,-,900,-,1096,969.0,6.0,6.0,5.9,923.0,958,975.0,1157.0,5.0,5,0.07,-,-,-,-
1345,554,1000,1220,100,2640.0,6550.0,400.0,400.0,530,265.0,NU 18/1000 MA/HB1,-,1000,-,1143,1053.0,6.0,6.0,12.1,1023.0,1040,1060.0,1197.0,5.0,5,0.05,-,-,-,-
1346,555,1000,1220,100,2640.0,6550.0,400.0,400.0,530,269.0,NUP 18/1000 MA/HB1,-,1000,1072,1146,1053.0,6.0,6.0,-,1025.0,-,1080.0,1196.0,5.0,-,0.2,-,-,-,-