d,D,H,C,C0,Pu,Minimallastfaktor_A,Referenzdrehzal,Grenzdrehzal,Gewicht_kg,Kurzzeichen,d,d1,D1,B,B1,C,r12,s,da_min,db1_max,db2_max,Ha_min,Da_max,ra_max
60,130,42,390,915,114,0.08,2800,5000,2.6,29412 E,60,112,85.5,27.0,36.7,21.0,1.5,38.0,90,67,67,-,107,1.5
65,140,45,455,1080,137,0.11,2600,4800,3.2,29413 E,65,120,91.5,29.5,39.8,22.0,2.0,42.0,100,72,72,-,117,2.0
70,150,48,520,1250,153,0.15,2400,4300,3.9,29414 E,70,129,99.0,31.0,41.0,23.8,2.0,44.8,105,77,77,-,125,2.0
75,160,51,600,1430,173,0.19,2400,4000,4.7,29415 E,75,138,106.0,33.5,45.7,24.5,2.0,47.0,115,82,82,-,133,2.0
80,170,54,670,1630,193,0.25,2200,3800,5.6,29416 E,80,147,113.0,35.0,48.1,26.5,2.1,50.0,120,88,88,-,141,2.0
85,150,39,380,1060,129,0.11,2400,4000,2.75,29317 E,85,134,110.0,24.5,33.8,20.0,1.5,50.0,115,90,90,-,129,1.5
85,180,58,735,1800,212,0.31,2000,3600,6.75,29417 E,85,155,121.0,37.0,51.1,28.0,2.1,54.0,130,94,94,-,151,2.0
90,155,39,400,1080,132,0.11,2400,4000,2.85,29318 E,90,138,115.0,24.5,34.5,19.5,1.5,53.0,120,95,95,-,134,1.5
90,190,60,815,2000,232,0.38,1900,3400,7.75,29418 E,90,164,128.0,39.0,54.0,28.5,2.1,56.0,135,99,99,-,158,2.0
100,170,42,465,1290,156,0.16,2200,3600,3.65,29320 E,100,152,128.0,26.2,36.3,20.5,1.5,58.0,130,107,107,-,147,1.5
100,210,67,980,2500,275,0.59,1700,3000,10.5,29420 E,100,182,142.0,43.0,57.3,32.0,3.0,62.0,150,110,110,-,175,2.5
110,190,48,610,1730,204,0.28,1900,3200,5.3,29322 E,110,171,140.0,30.3,41.7,24.8,2.0,63.8,145,117,117,-,164,2.0
110,230,73,1180,3000,325,0.86,1600,2800,13.5,29422 E,110,199,156.0,47.0,64.7,34.7,3.0,69.0,165,120,129,-,193,2.5
120,210,54,765,2120,245,0.43,1700,2800,7.35,29324 E,120,188,155.0,34.0,48.2,27.0,2.1,70.0,160,128,128,-,181,2.0
120,250,78,1370,3450,375,1.1,1500,2600,17.5,29424 E,120,216,171.0,50.5,70.3,36.5,4.0,74.0,180,132,142,-,209,3.0
130,225,58,865,2500,280,0.59,1600,2600,9.0,29326 E,130,203,166.0,36.7,50.6,30.1,2.1,75.6,175,138,143,-,194,2.0
130,270,85,1560,4050,430,1.6,1300,2400,22.0,29426 E,130,234,185.0,54.0,76.0,40.9,4.0,81.0,195,142,153,-,227,3.0
140,240,60,980,2850,315,0.77,1500,2600,10.5,29328 E,140,216,177.0,38.5,54.0,30.0,2.1,82.0,185,148,154,-,208,2.0
140,280,85,1630,4300,455,1.8,1300,2400,23.0,29428 E,140,245,195.0,54.0,75.6,41.0,4.0,86.0,205,153,162,-,236,3.0
150,215,39,408,1600,180,0.24,1800,2800,4.3,29230 E,150,200,176.0,24.0,34.3,20.5,1.5,82.0,180,154,154,14,193,1.5
150,250,60,1000,2850,315,0.77,1500,2400,11.0,29330 E,150,223,190.0,38.0,54.9,28.0,2.1,87.0,195,158,163,-,219,2.0
150,300,90,1860,5100,520,2.5,1200,2200,28.0,29430 E,150,262,208.0,58.0,80.8,43.4,4.0,92.0,220,163,175,-,253,3.0
160,270,67,1180,3450,375,1.1,1300,2200,14.5,29332 E,160,243,203.0,42.0,60.0,33.0,3.0,92.0,210,169,176,-,235,2.5
160,320,95,2080,5600,570,3.0,1100,2000,32.0,29432 E,160,279,224.0,60.5,84.3,45.5,5.0,99.0,235,175,189,-,270,4.0
170,280,67,1200,3550,365,1.2,1300,2200,15.0,29334 E,170,251,215.0,42.2,61.1,30.5,3.0,96.0,220,178,188,-,245,2.5
170,340,103,2360,6550,640,4.1,1100,1900,44.5,29434 E,170,297,236.0,65.5,91.2,50.0,5.0,104.0,250,185,199,-,286,4.0
180,250,42,495,2040,212,0.4,1600,2600,5.8,29236 E,180,234,208.0,26.0,36.9,22.0,1.5,97.0,210,187,187,14,226,1.5
180,300,73,1430,4300,440,1.8,1200,2000,19.5,29336 E,180,270,227.0,46.0,66.2,35.5,3.0,103.0,235,189,195,-,262,2.5
180,360,109,2600,7350,710,5.1,1000,1800,52.5,29436 E,180,315,250.0,69.5,96.4,53.0,5.0,110.0,265,196,210,-,304,4.0
190,320,78,1630,4750,490,2.1,1100,1900,23.5,29338 E,190,285,244.0,49.0,71.3,36.0,4.0,110.0,250,200,211,-,280,3.0
190,380,115,2850,8000,765,6.1,950,1700,60.5,29438 E,190,332,265.0,73.0,101.0,55.5,5.0,117.0,280,207,223,-,321,4.0
200,280,48,656,2650,285,0.67,1400,2200,9.3,29240 E,200,260,233.0,30.0,43.4,24.0,2.0,108.0,235,206,207,17,253,2.0
200,340,85,1860,5500,550,2.9,1000,1700,28.5,29340 E,200,304,257.0,53.5,76.7,40.0,4.0,116.0,265,211,224,-,297,3.0
200,400,122,3200,9000,850,7.7,850,1600,72.0,29440 E,200,350,278.0,77.0,107.1,59.4,5.0,122.0,295,217,234,-,337,4.0
220,300,48,690,3000,310,0.86,1300,2200,10.0,29244 E,220,280,252.0,30.0,43.4,24.5,2.0,117.0,255,224.5,227,17,271,2.0
220,360,85,2000,6300,610,3.8,1000,1700,31.0,29344 E,220,326,274.0,55.0,77.7,41.0,4.0,125.0,285,229,240,-,316,3.0
220,420,122,3350,9650,900,8.8,850,1500,75.0,29444 E,220,371,300.0,77.0,107.4,58.5,6.0,132.0,315,238,254,-,358,5.0
240,340,60,799,3450,335,1.1,1100,1800,16.5,29248,240,330,283.0,19.0,57.0,30.0,2.1,130.0,290,-,-,-,308,2.0
240,380,85,2040,6550,630,4.1,1000,1600,35.5,29348 E,240,345,296.0,54.0,77.8,40.5,4.0,135.0,305,249,259,-,336,3.0
240,440,122,3400,10200,930,9.9,850,1500,80.0,29448 E,240,391,322.0,76.0,107.1,59.0,6.0,142.0,335,258,276,-,378,5.0
260,360,60,817,3650,345,1.3,1100,1700,18.5,29252,260,350,302.0,19.0,57.0,30.0,2.1,139.0,310,-,-,-,326,2.0
260,420,95,2550,8300,780,6.5,850,1400,49.0,29352 E,260,382,324.0,61.0,86.6,46.0,5.0,148.0,335,273,286,-,370,4.0
260,480,132,4050,12900,1080,16.0,750,1300,105.0,29452 E,260,427,346.0,86.0,119.0,63.0,6.0,154.0,365,278,296,-,412,5.0
280,380,60,863,4000,375,1.5,1000,1700,19.5,29256,280,370,323.0,19.0,57.0,30.5,2.1,150.0,325,-,-,-,347,2.0
280,440,95,2550,8650,800,7.1,850,1400,53.0,29356 E,280,401,343.0,62.0,86.7,45.5,5.0,158.0,355,293,305,-,390,4.0
280,520,145,4900,15300,1320,22.0,670,1200,135.0,29456 E,280,464,372.0,95.0,129.9,70.0,6.0,166.0,395,300,320,-,446,5.0
300,420,73,1070,4800,465,2.2,900,1400,30.5,29260,300,405,353.0,21.0,69.0,38.0,3.0,162.0,360,-,-,-,380,2.5
300,480,109,3100,10600,930,11.0,750,1200,75.0,29360 E,300,434,372.0,70.0,98.9,51.0,5.0,168.0,385,313,329,-,423,4.0
300,540,145,5000,16600,1340,24.0,670,1200,140.0,29460 E,300,485,392.0,95.0,130.3,70.5,6.0,175.0,415,319,340,-,465,5.0
320,440,73,1110,5100,465,2.5,850,1400,33.0,29264,320,430,372.0,21.0,69.0,38.0,3.0,172.0,380,-,-,-,400,2.5
320,500,109,3350,11200,1000,12.0,750,1200,78.0,29364 E,320,454,391.0,68.0,97.8,53.0,5.0,180.0,405,332,347,-,442,4.0
320,580,155,5700,19000,1530,32.0,600,1100,175.0,29464 E,320,520,422.0,102.0,139.4,74.5,7.5,191.0,450,344,367,-,500,6.0
340,460,73,1130,5400,480,2.8,850,1300,33.5,29268,340,445,395.0,21.0,69.0,37.5,3.0,183.0,400,-,-,-,422,2.5
340,540,122,2710,11000,950,11.0,600,1100,105.0,29368,340,520,428.0,40.6,117.0,59.5,5.0,192.0,440,-,-,-,479,4.0
340,620,170,6700,22400,1760,46.0,560,1000,220.0,29468 E,340,557,445.0,112.0,151.4,84.0,7.5,201.0,475,363,386,-,530,6.0
360,500,85,1460,6800,585,4.4,750,1200,52.0,29272,360,485,423.0,25.0,81.0,44.0,4.0,195.0,430,-,-,-,453,3.0
360,560,122,2760,11600,980,13.0,600,1100,110.0,29372,360,540,448.0,40.5,117.0,59.5,5.0,202.0,460,-,-,-,500,4.0
360,640,170,6200,21200,1630,41.0,560,950,230.0,29472 EM,360,580,474.0,63.0,164.0,83.5,7.5,210.0,495,-,-,-,550,6.0
380,520,85,1580,7650,655,5.6,700,1100,53.0,29276,380,505,441.0,27.0,81.0,42.0,4.0,202.0,450,-,-,-,473,3.0
380,600,132,3340,14000,1160,19.0,530,1000,140.0,29376,380,580,477.0,45.0,127.0,63.5,6.0,216.0,495,-,-,-,535,5.0
380,670,175,6800,24000,1860,53.0,530,900,260.0,29476 EM,380,610,494.0,67.0,168.0,87.5,7.5,222.0,525,-,-,-,580,6.0
400,540,85,1610,8000,695,6.1,700,1100,55.5,29280,400,526,460.0,27.0,81.0,42.2,4.0,212.0,470,-,-,-,493,3.0
400,620,132,3450,14600,1200,20.0,530,950,150.0,29380,400,596,494.0,43.0,127.0,64.0,6.0,225.0,510,-,-,-,550,5.0
400,710,185,7650,26500,1960,62.0,480,850,310.0,29480 EM,400,645,525.0,69.0,178.0,89.5,7.5,234.0,550,-,-,-,615,6.0
420,580,95,1990,9800,815,9.1,630,1000,75.5,29284,420,564,489.0,30.0,91.0,46.0,5.0,225.0,500,-,-,-,525,4.0
420,650,140,3740,16000,1290,24.0,500,900,170.0,29384,420,626,520.0,49.0,135.0,67.5,6.0,235.0,535,-,-,-,580,5.0
420,730,185,7800,27500,2080,69.0,480,850,325.0,29484 EM,420,665,545.0,70.0,178.0,90.5,7.5,244.0,575,-,-,-,635,6.0
440,600,95,2070,10400,850,10.0,630,1000,78.0,29288,440,585,508.0,30.0,91.0,46.5,5.0,235.0,520,-,-,-,545,4.0
440,680,145,5200,19300,1560,34.0,530,850,180.0,29388 EM,440,626,540.0,49.0,140.0,70.5,6.0,249.0,560,-,-,-,605,5.0
440,780,206,9000,32000,2320,91.0,430,750,410.0,29488 EM,440,710,577.0,77.0,199.0,101.0,9.5,257.0,605,-,-,-,675,8.0
460,620,95,2070,10600,865,11.0,600,950,81.0,29292,460,605,530.0,30.0,91.0,46.0,5.0,245.0,540,-,-,-,565,4.0
460,710,150,4310,19000,1500,34.0,450,800,215.0,29392,460,685,567.0,50.0,144.0,72.5,6.0,257.0,585,-,-,-,630,5.0
460,800,206,9300,33500,2450,100.0,430,750,425.0,29492 EM,460,730,596.0,77.0,199.0,101.5,9.5,268.0,630,-,-,-,695,8.0
480,650,103,2350,11800,950,13.0,560,900,98.0,29296,480,635,556.0,33.0,99.0,53.5,5.0,259.0,570,-,-,-,595,4.0
480,850,224,9550,39000,2800,140.0,340,670,550.0,29496 EM,480,770,625.0,88.0,216.0,108.0,9.5,280.0,660,-,-,-,735,8.0
500,670,103,2390,12500,1000,15.0,560,900,100.0,292/500,500,654,574.0,33.0,99.0,53.5,5.0,268.0,585,-,-,-,615,4.0
500,750,150,4490,20400,1560,40.0,430,800,235.0,293/500,500,725,611.0,50.0,144.0,74.0,6.0,280.0,630,-,-,-,675,5.0
500,870,224,9370,40000,2850,150.0,340,670,560.0,294/500 EM,500,795,648.0,86.0,216.0,110.0,9.5,290.0,685,-,-,-,755,8.0
530,710,109,3110,15300,1220,22.0,530,850,115.0,292/530 EM,530,675,608.0,32.0,105.0,56.0,5.0,285.0,620,-,-,-,655,4.0
530,800,160,5870,26500,2080,67.0,400,750,265.0,293/530 EM,530,741,641.0,55.0,154.0,81.0,7.5,295.0,665,-,-,-,715,6.0
530,920,236,10500,44000,3100,180.0,320,630,650.0,294/530 EM,530,840,686.0,89.0,228.0,116.0,9.5,308.0,725,-,-,-,800,8.0
560,750,115,2990,16000,1220,24.0,480,800,140.0,292/560,560,732,644.0,37.0,111.0,61.0,5.0,302.0,655,-,-,-,685,4.0
560,980,250,12000,51000,3550,250.0,300,560,810.0,294/560 EM,560,890,727.0,99.0,241.0,122.0,12.0,328.0,770,-,-,-,850,10.0
600,800,122,3740,18600,1460,33.0,450,700,170.0,292/600 EM,600,760,688.0,39.0,117.0,60.0,5.0,321.0,700,-,-,-,735,4.0
600,1030,258,13100,56000,4000,300.0,280,530,845.0,294/600 EM,600,940,769.0,99.0,249.0,128.0,12.0,349.0,815,-,-,-,900,10.0
630,850,132,4770,23600,1800,53.0,400,670,210.0,292/630 EM,630,810,723.0,50.0,127.0,62.0,6.0,338.0,740,-,-,-,780,5.0
630,950,190,8450,38000,2900,140.0,320,600,485.0,293/630 EM,630,880,761.0,68.0,183.0,92.0,9.5,359.0,795,-,-,-,860,8.0
630,1090,280,14400,62000,4150,370.0,260,500,1040.0,294/630 EM,630,995,815.0,107.0,270.0,137.0,12.0,365.0,860,-,-,-,950,10.0
670,1150,290,15400,68000,4500,440.0,240,450,1210.0,294/670 EM,670,1045,864.0,110.0,280.0,141.0,15.0,387.0,905,-,-,-,1000,12.0
710,1060,212,9950,45500,3400,200.0,280,500,610.0,293/710 EM,710,985,855.0,74.0,205.0,103.0,9.5,404.0,890,-,-,-,960,8.0
710,1220,308,17600,76500,5000,560.0,220,430,1500.0,294/710 EF,710,1110,917.0,117.0,298.0,149.0,15.0,415.0,965,-,-,-,1070,12.0
750,1280,315,18700,85000,5500,690.0,200,400,1650.0,294/750 EF,750,1170,964.0,121.0,305.0,153.0,15.0,436.0,1015,-,-,-,1120,12.0
800,1060,155,6560,34500,2550,110.0,320,530,380.0,292/800 EM,800,1010,911.0,52.0,149.0,77.0,7.5,434.0,935,-,-,-,980,6.0
800,1180,230,11300,55000,3900,290.0,240,450,810.0,293/800 EM,800,1099,958.0,78.0,222.0,117.0,9.5,440.0,985,-,-,-,1060,8.0
800,1360,335,20200,93000,5850,820.0,190,360,2030.0,294/800 EF,800,1250,1034.0,123.0,324.0,165.0,15.0,462.0,1080,-,-,-,1185,12.0
850,1440,354,23900,108000,7100,1100.0,170,340,2390.0,294/850 EF,850,1315,1077.0,142.0,342.0,172.0,15.0,507.0,1160,-,-,-,1270,12.0
900,1520,372,26700,122000,7200,1400.0,160,300,2650.0,294/900 EF,900,1394,1137.0,147.0,360.0,186.0,15.0,518.0,1215,-,-,-,1320,12.0
950,1600,390,28200,132000,7800,1700.0,140,280,3070.0,294/950 EF,950,1470,1209.0,153.0,377.0,191.0,15.0,546.0,1275,-,-,-,1400,12.0
1000,1670,402,31100,140000,8650,1900.0,130,260,3390.0,294/1000 EF,1000,1531,1270.0,154.9,389.0,190.0,15.0,599.0,1350,-,-,-,1490,12.0
1060,1770,426,33400,156000,8500,2300.0,120,240,4280.0,294/1060 EF,1060,1615,1349.0,192.0,412.0,207.0,15.0,610.0,1410,-,-,-,1555,12.0
