d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,d1,D1,FE,r12_min,s_max,da_min,da_max,db_min,Da_min,Da_max,ra_max,kr
100,180,46,400,475,57.0,4000,4500,5.1,NUH 2220 ECMH,100,-,156,119.0,2.1,1.0,113,116,122,159,167,2.0,0.16
100,215,73,710,800,91.5,3200,3800,13.0,NUH 2320 ECMH,100,-,182,127.5,3.0,2.2,114,124,131,186,199,2.5,0.2
110,200,53,465,550,64.0,3600,4000,7.3,NUH 2222 ECMH,110,-,173,132.5,2.1,2.2,122,129,135,177,187,2.0,0.16
110,240,80,830,965,110.0,3000,3400,18.0,NUH 2322 ECMH,110,-,200,143.0,3.0,2.3,124,139,146,206,225,2.5,0.2
120,215,58,550,670,76.5,3400,3600,9.0,NUH 2224 ECMH,120,-,187,143.5,2.1,2.2,132,140,146,191,201,2.0,0.16
120,260,86,965,1120,125.0,2800,3200,22.5,NUH 2324 ECMH,120,-,218,154.0,3.0,2.4,134,150,157,224,244,2.5,0.2
130,230,64,630,780,88.0,3200,3400,11.0,NUH 2226 ECMH,130,-,201,153.5,3.0,2.6,144,150,157,205,215,2.5,0.16
130,280,93,1120,1340,146.0,2400,3000,28.0,NUH 2326 ECMH,130,-,235,167.0,4.0,3.1,147,163,170,241,261,3.0,0.2
130,280,93,1120,1340,146.0,2400,3400,29.0,NCF 2326 ECJB,130,181,235,247.0,4.0,8.7,147,174,-,241,261,3.0,0.2
140,250,68,680,880,96.5,2800,3200,14.5,NUH 2228 ECMH,140,-,216,169.0,3.0,3.2,154,165,172,220,235,2.5,0.16
140,250,68,680,880,96.5,2800,3600,14.5,NCF 2228 ECJB,140,179,216,225.0,3.0,4.4,154,174,-,220,235,2.5,0.16
140,300,102,1250,1530,163.0,2400,2800,35.0,NUH 2328 ECMH,140,-,251,180.0,4.0,3.9,157,175,183,257,282,3.0,0.2
140,300,102,1250,1530,163.0,2400,3200,35.5,NCF 2328 ECJB,140,195,251,264.0,4.0,9.7,157,188,-,257,282,3.0,0.2
150,270,73,780,1040,112.0,2600,2800,18.0,NUH 2230 ECMH,150,-,233,182.0,3.0,3.3,164,178,186,237,254,2.5,0.16
150,270,73,780,1040,112.0,2600,3400,18.0,NCF 2230 ECJB,150,193,233,242.0,3.0,4.9,164,188,-,237,254,2.5,0.16
150,320,108,1430,1760,183.0,2200,2600,42.0,NUH 2330 ECMH,150,-,285,193.0,4.0,4.1,167,188,196,284,302,3.0,0.2
150,320,108,1430,1760,183.0,2200,3000,43.5,NCF 2330 ECJB,150,209,269,283.0,4.0,10.5,167,201,-,276,302,3.0,0.2
160,290,80,980,1270,134.0,2400,2600,23.0,NUH 2232 ECMH,160,-,250,193.0,3.0,3.0,174,189,196,256,274,2.5,0.16
160,290,80,980,1270,134.0,2400,3000,23.5,NCF 2232 ECJB,160,205,250,261.0,3.0,4.5,174,199,-,256,274,2.5,0.16
160,340,114,1400,2000,196.0,1800,2400,50.5,NUH 2332 ECMH,160,-,285,204.0,4.0,2.5,177,199,207,292,321,3.0,0.2
160,340,114,1400,2000,196.0,1800,2800,50.5,NCF 2332 ECJB,160,221,281,300.0,4.0,11.0,177,213,-,290,321,3.0,0.2
160,340,114,1600,2000,196.0,2000,2800,50.5,NCF 2332 ECJB/PEX,160,221,281,300.0,4.0,11.0,177,213,-,290,321,3.0,0.2
160,340,114,1600,2000,196.0,2000,2400,50.5,NUH 2332 ECMH/PEX,160,-,285,204.0,4.0,2.5,177,199,207,292,321,3.0,0.2
170,310,86,1600,1530,156.0,2200,2400,28.5,NUH 2234 ECMH,170,-,269,205.0,4.0,2.4,187,201,208,275,292,3.0,0.16
170,310,86,1160,1530,156.0,2200,2800,28.0,NCF 2234 ECJB,170,219,270,281.0,4.0,4.2,187,212,-,275,292,3.0,0.16
170,360,120,1540,2200,216.0,1700,2200,59.5,NUH 2334 ECMH,170,-,301,216.0,4.0,3.8,186,211,219,308,341,3.0,0.2
170,360,120,1540,2200,216.0,1700,2600,58.5,NCF 2334 ECJB,170,234,301,316.0,4.0,10.0,186,225,-,308,341,3.0,0.2
170,360,120,1760,2200,216.0,1900,2600,58.5,NCF 2334 ECJB/PEX,170,234,301,316.0,4.0,10.0,186,225,-,308,341,3.0,0.2
170,360,120,1760,2200,216.0,1900,2200,59.5,NUH 2334 ECMH/PEX,170,-,301,216.0,4.0,3.8,186,211,219,308,341,3.0,0.2
180,320,86,1200,1600,166.0,2200,2400,29.5,NUH 2236 ECMH,180,-,279,215.0,4.0,2.4,197,211,218,285,302,3.0,0.16
180,320,86,1200,1600,166.0,2200,2800,30.0,NCF 2236 ECJB,180,229,279,291.0,4.0,4.2,197,222,-,285,302,3.0,0.16
180,380,126,1720,2400,232.0,1600,2200,68.0,NUH 2336 ECMH,180,-,322,227.0,4.0,3.7,196,222,230,330,361,3.0,0.2
180,380,126,1720,2400,232.0,1600,2400,67.5,NCF 2336 ECJB,180,247,320,339.0,4.0,10.5,196,237,-,329,361,3.0,0.2
180,380,126,1960,2400,232.0,1800,2400,67.5,NCF 2336 ECJB/PEX,180,247,320,339.0,4.0,10.5,196,237,-,329,361,3.0,0.2
180,380,126,1960,2400,232.0,1800,2200,68.0,NUH 2336 ECMH/PEX,180,-,322,227.0,4.0,3.7,196,222,230,311,361,3.0,0.2
190,340,92,1320,1760,180.0,2000,2200,36.0,NUH 2238 ECMH,190,-,296,228.0,4.0,3.1,207,224,231,302,321,3.0,0.16
190,340,92,1320,1760,180.0,2000,2600,36.5,NCF 2238 ECJB,190,242,293,308.0,4.0,5.0,207,235,-,300,321,3.0,0.16
190,400,132,1940,2750,255.0,1500,2000,78.5,NUH 2338 ECMH,190,-,342,240.0,5.0,4.1,209,234,244,351,380,4.0,0.2
190,400,132,1940,2750,255.0,1500,2200,78.0,NCF 2338 ECJB,190,262,342,360.0,5.0,9.5,209,251,-,351,380,4.0,0.2
190,400,132,2240,2750,255.0,1700,2200,78.0,NCF 2338 ECJB/PEX,190,262,342,360.0,5.0,9.5,209,251,-,351,380,4.0,0.2
190,400,132,2240,2750,255.0,1700,2000,78.5,NUH 2338 ECMH/PEX,190,-,342,240.0,5.0,4.1,209,234,244,351,380,4.0,0.2
200,360,98,1460,2000,200.0,1900,2200,43.5,NUH 2240 ECMH,200,-,312,241.0,4.0,3.4,217,236,245,318,341,3.0,0.16
200,360,98,1460,2000,200.0,1900,2400,43.0,NCF 2240 ECJB,200,256,312,325.0,4.0,5.1,217,249,-,318,341,3.0,0.16
200,420,138,2200,3200,300.0,1400,1900,92.5,NUH 2340 ECMH,200,-,358,253.0,5.0,4.3,220,247,257,367,399,4.0,0.2
200,420,138,2200,3200,300.0,1400,2200,91.5,NCF 2340 ECJB,200,275,356,377.0,5.0,9.4,220,264,-,367,399,4.0,0.2
200,420,138,2550,3200,300.0,1600,2200,91.5,NCF 2340 ECJB/PEX,200,275,356,377.0,5.0,9.4,220,264,-,367,399,4.0,0.2
200,420,138,2550,3200,300.0,1600,1900,92.5,NUH 2340 ECMH/PEX,200,-,358,253.0,5.0,4.3,220,247,257,367,399,4.0,0.2
220,400,108,1760,2600,240.0,1600,1900,59.0,NUH 2244 ECMH,220,-,350,259.0,4.0,2.5,237,254,263,359,383,3.0,0.16
220,400,108,1760,2600,240.0,1600,2200,58.5,NCF 2244 ECJB,220,279,349,367.0,4.0,7.9,237,269,-,358,383,3.0,0.16
220,400,108,2000,2600,240.0,1700,1900,59.0,NUH 2244 ECMH/PEX,220,-,350,259.0,4.0,2.5,237,254,263,359,383,3.0,0.16
220,400,108,2000,2600,240.0,1700,2200,58.5,NCF 2244 ECJB/PEX,220,279,349,367.0,4.0,7.9,237,269,-,358,383,3.0,0.16
220,460,145,2510,3650,335.0,1300,1700,116.0,NUH 2344 ECMH,220,-,392,277.0,5.0,3.0,240,270,281,334,439,4.0,0.2
220,460,145,2510,3650,335.0,1300,2000,116.0,NCF 2344 ECJB,220,302,392,413.0,5.0,10.4,240,290,-,386,440,4.0,0.2
220,460,145,2900,3650,335.0,1400,1700,116.0,NUH 2344 ECMH/PEX,220,-,392,277.0,5.0,3.0,240,270,281,334,439,4.0,0.2
240,440,120,1980,3050,275.0,1400,1700,80.0,NUH 2248 ECMH,240,-,312,287.0,4.0,3.5,258,294,299,299,422,3.0,0.16
240,440,120,2279,3050,275.0,1600,1700,80.0,NUH 2248 ECMH/PEX,240,-,312,287.0,4.0,3.5,258,294,299,299,422,3.0,0.16
240,500,155,2750,4000,345.0,1200,1500,143.0,NUH 2348 ECMH,240,-,426,299.0,5.0,3.1,260,298,303,362,479,4.0,0.2
240,500,155,3150,4000,345.0,1300,1500,143.0,NUH 2348 ECMH/PEX,240,-,426,299.0,5.0,3.1,260,298,303,362,479,4.0,0.2