d,D,B,C,C0,Ermüdungsgrenzbelastung,Grenzdrehzahl_Lager_mit_Deckscheiben,Grenzdrehzahl_Dichtscheiben,Gewicht_kg,Kurzzeichen_Lager_mit_Deckscheiben,Kurzzeichen_Dichtscheiben,d,d2,D2,r12,a,da_min,da_max,Da_max,ra_max,kr
10,30,14.0,7.61,4.3,0.183,24000,17000,0.051,3200 A-2Z,3200 A-2RS1,10,15.8,25.0,0.6,16,14.4,15.5,25.6,0.6,0.06
12,32,15.9,10.1,5.6,0.24,22000,15000,0.058,3201 A-2Z,3201 A-2RS1,12,17.2,27.7,0.6,19,16.4,17.0,27.6,0.6,0.06
15,35,15.9,11.2,6.8,0.285,18000,14000,0.066,3202 A-2Z,3202 A-2RS1,15,20.2,30.7,0.6,21,19.4,20.0,30.6,0.6,0.06
15,42,19.0,15.1,9.3,0.4,16000,12000,0.13,3302 A-2Z,3302 A-2RS1,15,23.7,35.7,1.0,24,20.6,23.5,36.4,1.0,0.07
17,40,17.5,14.3,8.8,0.365,16000,12000,0.1,3203 A-2Z,3203 A-2RS1,17,23.3,35.0,0.6,23,21.4,23.0,35.6,0.6,0.06
17,47,22.2,21.6,12.7,0.54,14000,11000,0.18,3303 A-2Z,3303 A-2RS1,17,25.7,40.2,1.0,28,22.6,25.5,41.4,1.0,0.07
20,47,20.6,20.4,12.9,0.55,14000,10000,0.16,3204 A-2Z,3204 A-2RS1,20,27.7,40.9,1.0,28,25.6,27.5,41.4,1.0,0.06
20,52,22.2,23.6,14.6,0.62,13000,9000,0.22,3304 A-2Z,3304 A-2RS1,20,29.9,44.0,1.1,30,27.0,29.5,45.0,1.0,0.07
25,52,20.6,21.6,14.3,0.6,12000,8500,0.18,3205 A-2Z,3205 A-2RS1,25,32.7,45.9,1.0,30,30.6,32.5,46.4,1.0,0.06
25,62,25.4,32.0,20.4,0.865,11000,7500,0.35,3305 A-2Z,3305 A-2RS1,25,35.7,53.4,1.1,36,32.0,35.5,55.0,1.0,0.07
30,62,23.8,30.0,20.4,0.865,10000,7500,0.29,3206 A-2Z,3206 A-2RS1,30,38.7,55.2,1.0,36,35.6,38.5,56.0,1.0,0.06
30,72,30.2,42.5,30.0,1.27,9000,6300,0.52,3306 A-2Z,3306 A-2RS1,30,39.8,64.1,1.1,42,37.0,39.5,65.0,1.0,0.07
35,72,27.0,40.0,28.0,1.18,9000,6300,0.44,3207 A-2Z,3207 A-2RS1,35,45.4,63.9,1.1,42,42.0,45.0,65.0,1.0,0.06
35,80,34.9,52.0,35.5,1.5,8500,6000,0.74,3307 A-2Z,3307 A-2RS1,35,44.6,70.5,1.5,47,44.0,44.5,71.0,1.5,0.07
40,80,30.2,48.0,36.5,1.56,8000,5600,0.57,3208 A-2Z,3208 A-2RS1,40,47.8,72.1,1.1,46,47.0,48.0,73.0,1.0,0.06
40,90,36.5,64.0,44.0,1.86,7500,5000,0.93,3308 A-2Z,3308 A-2RS1,40,50.8,80.5,1.5,53,49.0,50.0,81.0,1.5,0.07
45,85,30.2,51.0,39.0,1.63,7500,5300,0.63,3209 A-2Z,3209 A-2RS1,45,52.8,77.1,1.1,46,52.0,52.0,78.0,1.0,0.06
45,100,39.7,75.0,53.0,2.24,6700,4800,1.25,3309 A-2Z,3309 A-2RS1,45,55.6,90.0,1.5,58,54.0,91.0,91.0,1.5,0.07
50,90,30.2,51.0,42.5,1.8,7000,4800,0.65,3210 A-2Z,3210 A-2RS1,50,57.8,82.1,1.1,52,57.0,57.0,83.0,1.0,0.06
50,110,44.4,90.0,64.0,2.75,6000,4300,1.7,3310 A-2Z,3310 A-2RS1,50,62.0,99.5,2.0,65,61.0,61.0,99.0,2.0,0.07
55,100,33.3,60.0,47.5,2.0,6300,4500,0.91,3211 A-2Z,3211 A-2RS1,55,63.2,92.3,1.5,57,63.0,63.0,91.0,1.5,0.06
55,120,49.2,112.0,81.5,3.45,5300,3800,2.65,3311 A-2Z,3311 A-2RS1,55,68.4,110.0,2.0,72,66.0,68.0,109.0,2.0,0.07
60,110,36.5,73.5,58.5,2.5,5600,4000,1.2,3212 A-2Z,3212 A-2RS1,60,68.8,101.0,1.5,63,69.0,68.0,101.0,1.5,0.06
60,130,54.0,127.0,95.0,4.05,5000,-,2.8,3312 A-2Z,-,60,73.4,118.0,2.1,78,72.0,73.0,118.0,2.0,0.07
65,120,38.1,80.6,73.5,3.1,4800,3600,1.75,3213 A-2Z,3213 A-2RS1,65,77.5,111.0,1.5,71,74.0,76.0,111.0,1.5,0.06
65,140,58.7,146.0,110.0,4.55,4500,-,4.1,3313 A-2Z,-,65,79.2,128.0,2.1,84,77.0,78.0,128.0,2.0,0.07
70,125,39.7,88.4,80.0,3.4,4500,-,1.9,3214 A-2Z,-,70,82.5,116.0,1.5,74,79.0,82.0,116.0,1.5,0.06
70,150,63.5,163.0,125.0,5.0,4300,-,5.05,3314 A-2Z,-,70,86.5,137.0,2.1,89,82.0,84.0,138.0,2.0,0.07
75,130,41.3,95.6,88.0,3.75,4500,-,2.1,3215 A-2Z,-,75,87.5,121.0,1.5,77,84.0,84.0,121.0,1.5,0.06
75,160,68.3,176.0,140.0,5.5,4000,-,5.6,3315 A-2Z,-,75,95.4,147.0,2.1,97,87.0,88.0,148.0,2.0,0.07